Set,Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation/Logic
Set3,84,What is the loop-back address used in IPV4?,127.0.0.1,192.168.0.1,255.255.255.0,0.0.0.0,a,"127.0.0.1 is the IPv4 loopback address."
Set3,85,Which letter is used to indicate drawing paper?,A,B,P,S,a,"'A' series (A4, A3, etc.) indicates drawing paper sizes."
Set3,86,Which method is mostly not used in engineering projects?,ARR,AW,ERR,NPV,a,"ARR (Accounting Rate of Return) is less common; others are standard."
Set3,87,What does an arrow represent in UML?,Association,Dependency,Generalization,Aggregation,b,"In UML, a dashed arrow typically represents dependency."
Set3,88,What is also known as the interrupt that can be ignored?,Maskable interrupt,Non-maskable interrupt,Software interrupt,Hardware interrupt,a,"Maskable interrupts can be ignored/disabled."
Set3,89,Who appoints the chairman of NEC?,President of Nepal,Government of Nepal,Ministry of Education,Nepal Engineering Council Board,a,"President of Nepal appoints NEC chairman."
Set3,90,Which statement is incorrect?,"Macros are more efficient than templates","Templates provide type safety","Macros can lead to code bloat","Templates are resolved at compile time",a,"Macros are not more efficient; templates provide type safety."
Set3,91,What does the multiprocessor do?,Executes a single task,Processes multiple tasks simultaneously,Manages memory allocation,Controls I/O operations,b,"Multiprocessor systems execute multiple tasks in parallel."
Set3,92,Which of the following is considered the basic input device?,Mouse,Keyboard,Scanner,Printer,b,"Keyboard is the most basic input device."
Set3,93,What are the key components of search problem in AI?,"Initial state, goal state, operators","Nodes, edges, weights","Input, output, processing","Data, algorithm, solution",a,"A search problem requires initial state, goal state, and operators."
Set3,94,Which storage types support direct access?,Disk,RAM,Both Disk and RAM,Cache,c,"Both disk and RAM support direct (random) access."
Set3,95,In which layer is proxy implemented?,Application Layer,Transport Layer,Network Layer,Data Link Layer,a,"Proxy servers operate at the Application Layer."
Set3,96,What is the minimum number of meetings for NEC?,2,4,6,8,b,"Given as 4 in the source."
Set3,97,De- Morgan's law?,"NOT (A AND B) = (NOT A) OR (NOT B)","NOT (A OR B) = (NOT A) AND (NOT B)","Both a and b","None of the above",c,"Both are De Morgan's laws."
Set3,98,"Inductor and resistor are connected in series with voltage. Find current?",V/R,V/L,V/(R + L),Data insufficient,d,"Impedance depends on frequency; data insufficient for AC."
Set3,99,Which operation is used to perform the addition of A, B, and C?,"A or B or C","A or B and C","(A and B) or C",[OCR unclear],[Not provided],Question text is garbled in source.
Set3,100,Which design is required for software and hardware parts?,[Not provided],[Not provided],[Not provided],[Not provided],[Not provided],Question incomplete in source.
Set4,1,Dense index is?,Secondary index,Contains entries for all records,Sparse index,Clustered index,b,"Dense index has an entry for every record."
Set4,2,"In ANN, complexity depends on?",Number of epochs,Number of layers,Activation function,Training dataset,b,"Complexity depends on number of layers and nodes (architecture)."
Set4,3,Which is FALSE for a standard library?,Precompiled,Provides common functions,Does not require linking,Saves development time,c,"Standard libraries still require linking."
Set4,4,"In a use case diagram, we use?",Exclusion,Inclusion,Aggregation,Polymorphism,b,"<<include>> relationship is used in use case diagrams."
Set4,5,"Inheritance problem in C++: class Derived : public Base1, public Base2. For a derived object, the constructor of:",Base1 is called,Both Base1 and Base2 are called,Only Derived is called,None of the above,b,"Both base class constructors are called before derived."
Set4,6,"When expected budget is completely accomplished, it is termed as?",Cost value,Planned value,Forecast value,Wasted value,b,"Planned Value (PV) is the authorized budget."
Set4,7,"MYCIN and JPT 500 backward planner are examples of?",Heuristics,Rule-based systems,Expert systems,Neural networks,c,"MYCIN is a classic expert system."
Set4,8,How many states are required for a 4-bit counter?,4,8,16,32,c,"2^4 = 16 states."
Set4,9,"In client-server architecture, ""glue"" refers to?",Backend,Frontend,Middleware,Database,c,"Middleware acts as the glue between client and server."
Set4,10,Bluetooth is also called?,LAN,WAN,PAN,MAN,c,"Bluetooth is for Personal Area Networks (PAN)."
Set4,11,Which network uses a public network for access?,Intranet,VPN,Extranet,LAN,b,"VPN (Virtual Private Network) uses public networks."
Set4,12,Which of the following is true for TRAP?,Non-maskable and asynchronous,Maskable and synchronous,Non-maskable and inverted,None of the above,a,"TRAP is a non-maskable, asynchronous interrupt."
Set4,13,"Breadth First Search (BFS) uses which data structure?",Stack,Queue,Array,Tree,b,"BFS uses a queue."
Set4,14,"System of function in C which takes structure pointer:",Array passing,Structure pointer passing,Void pointer passing,Integer pointer passing,b,"Passing struct pointer is efficient."
Set4,15,Maximum height of AVL tree for N nodes is?,"~1.44 log2(N)",2,N+1,N,a,"Approximately 1.44 log2(N)."
Set4,16,Demand page fault algorithm formula?,"E = (1-p)*τ + p*χ",[OCR unclear],[OCR unclear],[OCR unclear],a,"Effective access time formula."
Set4,17,Maximum number of bits for 2000 primary memory addresses:,"2^2000","ceil(log2(2000))","2*2000",None of the above,b,"Bits needed = ceil(log2(2000))."
Set4,18,"Zener diode given (values):","10V, 25-40mA, Iz=5mA","5V, 10mA","20V, 15-30mA",None of the above,d,"Specs incomplete/unclear."
Set4,19,Which of the following is FALSE for use case diagrams?,"Use case can be inserted anytime","Collaborative diagrams include activities","Use cases represent actors","Use cases can include exceptions",b,"Use case diagrams do not show activities."
Set4,20,Custom process:,Larger size,"Smaller size and low power management",Fixed-size processors,Single-thread execution,b,"Custom ASICs are small and power-efficient."
Set4,21,Atomicity refers to?,Transaction management,Data integrity,Record-level locks,Log management,a,"Atomicity ensures transactions are indivisible."
Set4,22,Query ... that evaluate total number of cost value for:,Evaluator,Parser,Optimizer,Loader,c,"Query optimizer evaluates cost."
Set4,23,How many parallel TCP connections can be used for FTP?,1,2,3,4,b,"FTP uses two connections: control and data."
Set4,24,Collections of disjunctive states is called?,Clause,Literal,Predicate,Rule,a,"A clause is a disjunction of literals."
Set4,25,"On scaling with Sx and Sy, where Sx ≠ Sy then:",Uniform-based scale,Non-uniform scale,Not possible,Scalable measure,b,"Unequal scaling factors produce non-uniform scale."
Set4,26,Knowledge base provides:,Rules and facts,Knowledge acquisition,Expert systems,Data inference,a,"Knowledge base stores rules and facts."
Set4,27,Assembler converts structural programs into:,Assembly code,High-level code,Machine language,Object code,c,"Assembler produces machine code."
Set4,28,Negative impact of technologies in society:,Lower labor,Mass communication,Environmental distortion,Standard specialization,c,"Environmental distortion (pollution, etc.) is a negative impact."
Set4,29,Invalid BCD to valid:,Add 1010 (binary),Add 1011,Add 1111,Subtract 1100,a,"Add 0110 (6) to correct invalid BCD; 1010 is decimal 10? Source says add 1010? Actually 0110 is correct. Source has inconsistency."
Set4,30,Non-maskable interrupt:,IRQ,TRAP,RESET,Clock interrupt,b,"TRAP is non-maskable."
Set4,31,"Circular queue rear/front condition when full:",rear = N-1,"rear = (front + 1) mod N","front + 1 = rear","rear = front - 1",b,"Full condition: (rear+1)%N == front."
Set4,32,"In scaling with S1 and S2 where S1 ≠ S2, which is true?",Scale is not possible,Uniform-based scale,Non-uniform scale,None of the above,c,"Non-uniform scale."
Set4,33,Which component gives rules and facts?,Knowledge Base,Knowledge Acquisition,Inference Engine,Decision Support,a,"Knowledge Base stores rules and facts."
Set4,34,"In a BJT, if collector-base is reverse-biased and base-emitter is forward-biased, which region?",Saturation region,Active region,Cutoff region,Reverse active region,b,"Active region (forward active)."
Set4,35,Assembler converts structural programs into which format?,Object Code,Source Code,Assembly Code,Machine Code,d,"Machine code."
Set4,36,What is an example of grouping multiple tasks and executing them?,Batch Processing System,Real-Time Processing,Parallel Processing,Sequential Processing,a,"Batch processing groups tasks."
Set4,37,Which is a negative impact of technologies in society?,Lesser Labour,Mass Communication,Environmental Distortion,Standard Specialization,c,"Environmental distortion."
Set4,38,Mod-10 ripple counters have which terminal counter?,1010 (binary),1001 (binary),0110 (binary),1110 (binary),b,"Mod-10 resets after 9 (binary 1001)."
Set4,39,How can invalid BCD values be made valid?,Subtract 1010,Add 0101,Subtract 1111,[Not provided],b,"Add 0110 (6) to correct; 0101 is 5? Source says add 0101? Inconsistent. Actual: add 0110."
Set4,40,Which of the following is not maskable?,Hardware Interrupt,Software Interrupt,Timer Interrupt,TRAP,d,"TRAP is non-maskable."
Set4,41,"In a circular queue, if rear equals front and an addition is attempted, what is condition?","rear = N-1","(rear+1) mod N = front","front = rear = 0","Queue is empty",b,"Full condition."
Set4,42,What is true for TRAP?,Non-maskable and vectored,Maskable and vectored,Maskable and non-vectored,Non-maskable and non-vectored,a,"TRAP is non-maskable and vectored."
Set4,43,Breadth First Search uses:,Stack,Queue,Priority Queue,Recursion,b,"Queue."
Set4,44,"Syntax for structure passing as a formal argument to function in C:","return type, function name(struct struct_name param)","return struct_type, function name()","Both a and b",None of the above,a,"Correct syntax: return_type func_name(struct struct_name param)."
Set4,45,"To change position of circle/ellipse, which parameter should be scaled?",Radius and center,Center,Circumference,Radius,b,"Translate the center."
Set4,46,Virtual memory process resides in:,RAM,ROM,External storage,Secondary storage,d,"Virtual memory uses secondary storage (disk)."
Set4,47,"An interrupt that stops current execution and executes a new process goes into:",ISR,Execution Unit,Control Unit,None of the above,a,"Interrupt Service Routine."
Set4,48,NEC board was formed by:,1992 AD,2071 BS,2055 BS,2060 BS,c,"NEC Act 2055 BS."
Set4,49,Which of the following is not an error detection technique?,Parity Check,Checksum,Hamming Code,Multiplexing,d,"Multiplexing is not error detection."
Set4,50,"In a push-down automata, at least one state has a transition. It is:",Non-regular,Regular,Finite,Context-free,d,"PDA recognizes context-free languages."
Set4,51,"To fill the interior of a polygon, which algorithm is used?",Scanline,Flood-fill,Boundary-fill,"a and b",d,"Scanline and flood-fill are both used."
Set4,52,RS232 is also called:,UART,USART,"Both a and b",None of the above,d,"RS232 is a standard, not a specific chip."
Set4,53,Which cable is used to join two traditional routers?,Straight cable,Crossover cable,Coaxial cable,Optical cable,b,"Crossover cable for router-to-router."
Set4,54,"In series connection, the sum of currents is:",Maximum,Zero,Same as total current,Minimum,c,"Current is same throughout series circuit."
Set4,55,What is the primary use of CMOS?,High-speed operation,Minimum power consumption,Voltage amplification,Analog signal processing,b,"CMOS is known for low static power."
Set4,56,Superposition Theorem is not used for calculation of:,Voltage,Current,Power,Resistance,c,"Superposition applies to linear quantities (V,I) but not power (nonlinear)."
Set4,57,Class B amplifier operates in which regions?,Only active,Only cutoff,"Both active and cutoff",Saturation only,c,"Class B conducts for 180° (active) and off for 180° (cutoff)."
Set4,58,Which protocol is used for file transfer?,TCP,FTP,UDP,HTTP,b,"FTP is for file transfer."
Set4,59,"If front = rear in a circular queue, and an insertion is attempted, what is true?",Queue is full,Queue is empty,Overflow occurs,Both a and c,c,"If front==rear indicates empty? Depends on implementation. Typically full condition is (rear+1)%N==front. Source says overflow."
Set4,60,"For scaling factors Sx=2, Sy=3, what type of scale?",Uniform scale,Non-uniform scale,No scale,Scale not possible,b,"Different factors = non-uniform."
Set4,61,Which component of an expert system stores rules and facts?,Knowledge base,Inference engine,User interface,Explanation facility,a,"Knowledge base."
Set4,62,"Grouping of multiple tasks and executing them is called:",Real-time system,Time-sharing system,Batch processing system,Multiprocessing system,c,"Batch processing."
Set4,63,Negative effects of technology on society include:,Lower labor,Mass communication,Environmental distortion,Standard specialization,c,"Environmental distortion."
Set4,64,Invalid BCD can be made valid by adding:,3,5,6,9,c,"Add 6 (0110)."
Set4,65,Which of the following is not maskable?,TRAP,RST,Interrupt,Timer,a,"TRAP is non-maskable."
Set4,66,"In VHDL, a bus is seen as:",A single signal,A collection of signals,A type of array,A clock signal,b,"Bus is a collection of signals."
Set4,67,What does PEAS stand for in Artificial Intelligence?,"Performance, Environment, Actuators, Sensors","Parameters, Efficiency, Algorithms, Systems","Planning, Execution, Analysis, Storage","Processing, Evaluation, Architecture, Simulation",a,"PEAS framework for AI agents."
Set4,68,Which of the following features are present in a crossword puzzle?,Clues and grids,Randomized letters,Numeric codes,Color-coded blocks,a,"Clues and grids."
Set4,69,Which is true about the Spiral Model in software development?,It is a linear model.,It emphasizes risk analysis.,It does not include prototyping.,It is suitable only for small projects.,b,"Spiral model is risk-driven."
Set4,70,Which is NOT part of Context-Free Grammar (CFG)?,Terminal,Non-terminals,Production rules,Transition states,d,"Transition states are for automata, not CFG."
Set4,71,Correct syntax for passing a 2D array to a function in C?,"void fun(int arr[3][3])","void fun(int arr[][3])","void fun(int arr[3][3], int size)","All of the above",d,"All are valid in different contexts; the size of second dimension must be specified."
Set4,72,Key objective of Software Quality Assurance (SQA)?,"Ensure functional requirements only","Verify development process and quality standards","Write source code","Reduce cost by limiting testing",b,"SQA focuses on process and standards."
Set4,73,Which is most closely associated with a ""control process""?,Microswitch,Microphone,Camera Sensor,Human vision,a,"Microswitch is a control component."
Set4,74,"For the equation i = I0 sin(ωt + θ), what is the time period T?","T = 2π/θ","T = 2π/ω","T = 2πf","T = 1/f",b,"T = 2π/ω."
Set4,75,"According to Nepal Engineering Council Act, 2055, maximum fine for unregistered practice?",2000 rupees,3000 rupees,25000 rupees,10000 rupees,b,"Up to 3000 rupees (source: page 28)."
Set4,76,Where is the file directory stored?,File Allocation Table (FAT),Boot sector,Cache memory,BIOS,a,"FAT stores directory information."
Set4,77,"In a processor, what are types of data manipulation commands?","Arithmetic, Logical, Shift","Read, Write, Transfer","Arithmetic, Storage, Interrupt","Logical, Rotate, Register transfer",a,"ALU operations: arithmetic, logical, shift."
Set4,78,How to send a character from a file?,Using getc() function,Using printf() function,Using read() function,Using putc() function,d,"putc() writes a character to a file."
Set4,79,"Forbidden state in SR flip-flop is:","S=0, R=0","S=0, R=1","S=1, R=0","S=1, R=1",d,"S=1,R=1 is invalid/forbidden."
Set4,80,Coincidence gate is:,AND,OR,XOR,XNOR,d,"XNOR outputs 1 when inputs coincide."
Set4,81,"Line voltage and phase voltage in star connection are related as:","VL = VP","VL = √3 VP","VP = √3 VL","VL = 3 VP",b,"VL = √3 × VP."
Set4,82,"In delta connection, line current is:","IL = IP","IL = √3 IP","IP = √3 IL","IL = 3 IP",b,"IL = √3 × IP."
Set4,83,Tenure of NEC members is:,3 years,4 years,5 years,2 years,b,"4 years (source)."
Set4,84,Minimum qualification for NEC registration is:,Diploma,Bachelor in Engineering,Master's degree,PhD,b,"Bachelor's degree."
Set4,85,NEA was established under:,Electricity Act 2049,NEA Act 2041,Company Act,Energy Act,b,"NEA Act 2041."
Set4,86,Corporate tax rate (FY 2023) was approximately:,20%,25%,30%,35%,b,"25%."
Set4,87,IPv6 address length is:,32-bit,64-bit,128-bit,256-bit,c,"128-bit."
Set4,88,SSL (Secure Sockets Layer) is located at which OSI layer?,Application layer,Presentation layer,Transport layer,Session layer,b,"SSL operates at Presentation layer (layer 6)."
Set4,89,Nepal Engineers' Association (NEA) was established under which Act?,Company Act,Engineering Council Act,Society Registration Act,2034,Social Welfare Act,c,"Society Registration Act, 2034."
Set4,90,Output when a NAND gate is connected to a NOT gate is:,OR gate,AND gate,NOR gate,XOR gate,b,"NAND + NOT = AND."
Set4,91,Function of seekg() in C++ is:,Reads data from file,Writes data to file,Sets file pointer position,Returns current position,c,"seekg() sets the read position."
Set4,92,Function that gives current position in a file in C++ is:,seekg(),seekp(),tellg(),tellp(),c,"tellg() returns read position."
Set4,93,"Interest given yearly but compounded semi-annually is called:",Simple interest,Effective interest,Nominal interest,Compound interest,c,"Nominal interest rate."
Set4,94,Which is a Non-Maskable Interrupt (NMI)?,RST 5.5,RST 6.5,INTR,TRAP,d,"TRAP is NMI."
Set4,95,Which is a valid IPv6 address?,192.168.1.1,255.255.255.0,"2001:0db8:85a3:0000:0000:8a2e:0370:7334",127.0.0.1,c,"IPv6 has hexadecimal and colons."
Set4,96,Central device used in a Star topology is:,Repeater,Router,Hub/Switch,Bridge,c,"Hub or switch."
Set4,97,Expert systems were first developed at:,MIT,Harvard University,Stanford University,Oxford University,c,"Stanford University (e.g., MYCIN)."
Set4,98,"A defuzzifier in fuzzy logic system:",Converts input into fuzzy values,Converts fuzzy values to crisp output,Generates fuzzy rules,Stores fuzzy sets,b,"Defuzzification produces crisp output."
Set4,99,"In a neuron, chemical reactions occur at the:",Axon,Dendrite,Cell body,Synapse,d,"Synapse transmits chemical signals."
Set4,100,"In Star (Y) connection, relation between Line Voltage (VL) and Phase Voltage (VP) is:","VL = VP","VL = √3 VP","VP = √3 VL","VL = 3 VP",b,"VL = √3 × VP."
Set5,1,What is the purpose of software testing?,Improve user interface,Speed up release,Reduce development time,Detect defects and ensure requirements,d,"Testing finds defects and validates requirements."
Set5,2,Nepal Engineering Association (NEA) is registered under which framework?,Nepal Engineering Council Act 2055,National NGO Act 2034,Professional Organizations Act 2025,Institutions Registration Act 2034,d,"Institutions Registration Act, 2034."
